country,Year,month,start,end,dengue
VIET NAM,2009,3.0,2009-03-01,2009-03-31,2922
VIET NAM,2009,4.0,2009-04-01,2009-04-30,3398
VIET NAM,2009,5.0,2009-05-01,2009-05-31,5412
VIET NAM,2009,6.0,2009-06-01,2009-06-30,8827
VIET NAM,2009,7.0,2009-07-01,2009-07-31,10747
VIET NAM,2009,8.0,2009-08-01,2009-08-31,11863
VIET NAM,2009,9.0,2009-09-01,2009-09-30,12397
VIET NAM,2009,10.0,2009-10-01,2009-10-31,11456
VIET NAM,2009,11.0,2009-11-01,2009-11-30,9739
VIET NAM,2009,12.0,2009-12-01,2009-12-31,5264
VIET NAM,2010,1.0,2010-01-01,2010-01-31,3382
VIET NAM,2010,2.0,2010-02-01,2010-02-28,1910
VIET NAM,2010,3.0,2010-03-01,2010-03-31,2169
VIET NAM,2010,4.0,2010-04-01,2010-04-30,2125
VIET NAM,2010,5.0,2010-05-01,2010-05-31,2765
VIET NAM,2010,6.0,2010-06-01,2010-06-30,4486
VIET NAM,2010,7.0,2010-07-01,2010-07-31,10734
VIET NAM,2010,8.0,2010-08-01,2010-08-31,15169
VIET NAM,2010,9.0,2010-09-01,2010-09-30,15395
VIET NAM,2010,10.0,2010-10-01,2010-10-31,14411
VIET NAM,2010,11.0,2010-11-01,2010-11-30,10070
VIET NAM,2010,12.0,2010-12-01,2010-12-31,6639
